"FieldID_unique","Date","Year","Province","SamplerNo.x","FieldID","SamplerType","ExtractionGroup","qPCRPlate","JDay","SampleID","SsCtMean","SsCtSD","SsMean","logSsMean","VolumeSampled","TtCt","TtSD","Water","week","month","SsMean_t1","logSs_t1","SamplerNo.y","MeanWetness","DiffMeanWet","MeanWet_1d","MaxWetness","DiffMaxWet","MaxWet_1d","MinWetness","DiffMinWet","MinWet_1d","MeanTemp","DiffMeanT","MeanT_1d","MaxTemp","DiffMaxT","MaxT_1d","MinTemp","DiffMinT","MinT_1d","MeanRH","DiffMeanRH","MeanRH_1d","MaxRH","DiffMaxRH","MaxRH_1d","MinRH","DiffMinRH","MinRH_1d","DiffRH_0d","DiffRH_1d","DiffRH_2d","MaxDiffRH_2h","MaxDiffRH_3h","MeanVPD","DiffMeanVPD","MeanVPD_1d","MaxVPD","DiffMaxVPD","MaxVPD_1d","MinVPD","DiffMinVPD","MinVPD_1d","TotalPrecip","Precip_1d","RainYN","MaxRain","MinRain","MeanWC","DiffMeanWC","MeanWC_1d","MaxWC","DiffMaxWC","MaxWC_1d","MinWC","DiffMinWC","MinWC_1d","MeanDP","DiffMeanDP","MeanDP_1d","MaxDP","DiffMaxDP","MaxDP_1d","MinDP","DiffMinDP","MinDP_1d","MeanSoilTemp","DiffMeanSoilT","MeanSoilT_1d","MaxSoilTemp","DiffMaxSoilT","MaxSoilT_1d","MinSoilTemp","DiffMinSoilT","MinSoilT_1d","jday"
"191507.09",2019-07-15,"2019","Alberta","07.09","1915","Burkard",NA,NA,196,NA,NA,NA,602.07,2.780367725,24,NA,NA,NA,28,7,1428.57,3.155203907,"07.09",0.93333,-1.51667,2.45,11.2,-2.7,13.9,0,0,0,18.93333,-1.31667,20.25,27.8,-3,30.8,10.4,-2.7,13.1,62.8875,-7.72917,70.61667,84.4,-8,92.4,36.7,-10.6,47.3,47.7,45.1,35.5,12.4,18,7.08864,1.16032,5.92831,16.75722,-0.06649,16.82372,1.50256,0.64158,0.86098,0,0,0,0,0,31.6125,-8.25417,39.86667,34.3,-9.4,43.7,27.1,-7.8,34.9,10.96667,-3.37083,14.3375,13.9,-4.7,18.6,7.6,-2.5,10.1,19.72917,-0.8,20.52917,30.4,0,30.4,13.8,-2.2,16,196
"191507.09",2019-07-16,"2019","Alberta","07.09","1915","Burkard",NA,NA,197,NA,NA,NA,208.06,2.320260559,24,NA,NA,NA,29,7,602.07,2.780367725,"07.09",4.0125,3.07917,0.93333,14.5,3.3,11.2,0,0,0,18.55833,-0.375,18.93333,23.3,-4.5,27.8,12.4,2,10.4,66.84167,3.95417,62.8875,88.5,4.1,84.4,46.8,10.1,36.7,41.7,47.7,45.1,20.1,22.4,5.40346,-1.68517,7.08864,10.17789,-6.57933,16.75722,1.34811,-0.15445,1.50256,3.1,0,1,1.5,0,26.67917,-4.93333,31.6125,27.1,-7.2,34.3,25.3,-1.8,27.1,11.94167,0.975,10.96667,15,1.1,13.9,8.6,1,7.6,18.94583,-0.78333,19.72917,24.2,-6.2,30.4,16,2.2,13.8,197
"191507.09",2019-07-17,"2019","Alberta","07.09","1915","Burkard",NA,NA,198,NA,NA,NA,273.3,2.438217891,24,NA,NA,NA,29,7,208.06,2.320260559,"07.09",0.4625,-3.55,4.0125,3.2,-11.3,14.5,0,0,0,17.07917,-1.47917,18.55833,25.3,2,23.3,8.3,-4.1,12.4,63.75417,-3.0875,66.84167,90.9,2.4,88.5,39.4,-7.4,46.8,51.5,41.7,47.7,12.3,23.6,6.16296,0.75949,5.40346,13.72493,3.54704,10.17789,0.80819,-0.53992,1.34811,0,3.1,0,0,0,24.43333,-2.24583,26.67917,25.3,-1.8,27.1,23.1,-2.2,25.3,9.38333,-2.55833,11.94167,13.8,-1.2,15,5.5,-3.1,8.6,17.80417,-1.14167,18.94583,23,-1.2,24.2,13.1,-2.9,16,198
"191507.09",2019-07-18,"2019","Alberta","07.09","1915","Burkard",NA,NA,199,NA,NA,NA,70.68,1.855367702,24,NA,NA,NA,29,7,273.3,2.438217891,"07.09",0,-0.4625,0.4625,0,-3.2,3.2,0,0,0,16.48333,-0.59583,17.07917,23.8,-1.5,25.3,7.1,-1.2,8.3,50.3125,-13.44167,63.75417,71,-19.9,90.9,22.6,-16.8,39.4,48.4,51.5,41.7,12.4,22.6,7.63346,1.47051,6.16296,15.86396,2.13903,13.72493,2.10929,1.3011,0.80819,1.7,0,1,1.2,0,22.32917,-2.10417,24.43333,22.7,-2.6,25.3,21.4,-1.7,23.1,5.11667,-4.26667,9.38333,9.5,-4.3,13.8,1.1,-4.4,5.5,17.83333,0.02917,17.80417,26.1,3.1,23,13.3,0.2,13.1,199
"191507.09",2019-07-19,"2019","Alberta","07.09","1915","Burkard",NA,NA,200,NA,NA,NA,513.17,2.711106733,24,NA,NA,NA,29,7,70.68,1.855367702,"07.09",0.62083,0.62083,0,14.9,14.9,0,0,0,0,13.1375,-3.34583,16.48333,22.8,-1,23.8,3,-4.1,7.1,57.71667,7.40417,50.3125,78.9,7.9,71,31.3,8.7,22.6,47.6,48.4,51.5,21.9,29.9,5.72752,-1.90595,7.63346,12.98871,-2.87525,15.86396,1.31395,-0.79535,2.10929,16.5,1.7,1,16.5,0,31.71667,9.3875,22.32917,45.5,22.8,22.7,20.1,-1.3,21.4,4.02083,-1.09583,5.11667,7.9,-1.6,9.5,-0.9,-2,1.1,14.82083,-3.0125,17.83333,21.7,-4.4,26.1,10.2,-3.1,13.3,200
"191507.09",2019-07-20,"2019","Alberta","07.09","1915","Burkard",NA,NA,201,NA,NA,NA,0,0,24,NA,NA,NA,29,7,513.17,2.711106733,"07.09",9.73333,9.1125,0.62083,14.9,0,14.9,0,0,0,13.16667,0.02917,13.1375,18.7,-4.1,22.8,8.9,5.9,3,83.09583,25.37917,57.71667,93.4,14.5,78.9,69.3,38,31.3,24.1,47.6,48.4,7.8,15.8,1.95237,-3.77515,5.72752,4.49206,-8.49665,12.98871,0.65996,-0.65399,1.31395,39.5,16.5,1,13.7,0,42.17917,10.4625,31.71667,46.7,1.2,45.5,33.7,13.6,20.1,10.29167,6.27083,4.02083,13.4,5.5,7.9,7.2,8.1,-0.9,14.725,-0.09583,14.82083,19.2,-2.5,21.7,12.3,2.1,10.2,201
"191507.09",2019-07-21,"2019","Alberta","07.09","1915","Burkard",NA,NA,202,NA,NA,NA,215.91,2.336279574,24,NA,NA,NA,29,7,0,0,"07.09",5.21667,-4.51667,9.73333,14.2,-0.7,14.9,0,0,0,15.97083,2.80417,13.16667,27.1,8.4,18.7,6.2,-2.7,8.9,72.57083,-10.525,83.09583,94.2,0.8,93.4,45.5,-23.8,69.3,48.7,24.1,47.6,10.1,17.3,4.78943,2.83706,1.95237,13.02532,8.53326,4.49206,0.53477,-0.12519,0.65996,0,39.5,0,0,0,39.86667,-2.3125,42.17917,43.7,-3,46.7,35.5,1.8,33.7,10.45833,0.16667,10.29167,16,2.6,13.4,4.6,-2.6,7.2,16.0625,1.3375,14.725,22.8,3.6,19.2,10.7,-1.6,12.3,202
"191507.09",2019-07-22,"2019","Alberta","07.09","1915","Burkard",NA,NA,203,NA,NA,NA,310.04,2.492809262,24,NA,NA,NA,29,7,215.91,2.336279574,"07.09",0,-5.21667,5.21667,0,-14.2,14.2,0,0,0,20.62917,4.65833,15.97083,31,3.9,27.1,11.5,5.3,6.2,62.70833,-9.8625,72.57083,80.4,-13.8,94.2,38.3,-7.2,45.5,42.1,48.7,24.1,13.9,25,7.91053,3.1211,4.78943,19.94423,6.91891,13.02532,1.87609,1.34133,0.53477,0,0,0,0,0,32.07917,-7.7875,39.86667,35.5,-8.2,43.7,27.1,-8.4,35.5,12.73333,2.275,10.45833,19.5,3.5,16,8.2,3.6,4.6,18.69583,2.63333,16.0625,26.3,3.5,22.8,13.2,2.5,10.7,203
"191507.09",2019-07-23,"2019","Alberta","07.09","1915","Burkard",NA,NA,204,NA,NA,NA,273.33,2.438265388,24,NA,NA,NA,30,7,310.04,2.492809262,"07.09",0.75833,0.75833,0,14.9,14.9,0,0,0,0,24.45417,3.825,20.62917,36,5,31,14.9,3.4,11.5,61,-1.70833,62.70833,75.2,-5.2,80.4,39.2,0.9,38.3,36,42.1,48.7,23.9,28,9.7499,1.83937,7.91053,22.96451,3.02027,19.94423,3.04696,1.17087,1.87609,15.1,0,1,10.9,0,33.57917,1.5,32.07917,43.7,8.2,35.5,26.2,-0.9,27.1,16.20833,3.475,12.73333,23.3,3.8,19.5,9.9,1.7,8.2,21.35417,2.65833,18.69583,29.2,2.9,26.3,16.1,2.9,13.2,204
"191507.09",2019-07-24,"2019","Alberta","07.09","1915","Burkard",NA,NA,205,NA,NA,NA,1703.71,3.231650509,24,NA,NA,NA,30,7,273.33,2.438265388,"07.09",1.49167,0.73333,0.75833,14.4,-0.5,14.9,0,0,0,20.87917,-3.575,24.45417,26.4,-9.6,36,14.8,-0.1,14.9,57.66667,-3.33333,61,81.3,6.1,75.2,29.7,-9.5,39.2,51.6,36,42.1,17.7,33.4,7.67916,-2.07074,9.7499,14.86545,-8.09905,22.96451,2.75334,-0.29362,3.04696,2.9,15.1,1,2.2,0,35.32083,1.74167,33.57917,39.6,-4.1,43.7,28.4,2.2,26.2,11.43333,-4.775,16.20833,16.8,-6.5,23.3,4.3,-5.6,9.9,19.2,-2.15417,21.35417,21.7,-7.5,29.2,15.3,-0.8,16.1,205
"191507.09",2019-07-25,"2019","Alberta","07.09","1915","Burkard",NA,NA,206,NA,NA,NA,303.86,2.484093322,24,NA,NA,NA,30,7,1703.71,3.231650509,"07.09",0,-1.49167,1.49167,0,-14.4,14.4,0,0,0,18.83333,-2.04583,20.87917,27,0.6,26.4,8.4,-6.4,14.8,47.34167,-10.325,57.66667,69.5,-11.8,81.3,32.8,3.1,29.7,36.7,51.6,36,19.8,24.3,9.00645,1.32729,7.67916,16.30127,1.43582,14.86545,2.62555,-0.12779,2.75334,0,2.9,0,0,0,25.34583,-9.975,35.32083,28.4,-11.2,39.6,22.3,-6.1,28.4,6.9875,-4.44583,11.43333,11.8,-5,16.8,2.3,-2,4.3,17.78333,-1.41667,19.2,24.4,2.7,21.7,12.6,-2.7,15.3,206
"191507.09",2019-07-26,"2019","Alberta","07.09","1915","Burkard",NA,NA,207,NA,NA,NA,387.87,2.589798856,24,NA,NA,NA,30,7,303.86,2.484093322,"07.09",1.17917,1.17917,0,14.8,14.8,0,0,0,0,19.6625,0.82917,18.83333,32.2,5.2,27,8.2,-0.2,8.4,63.30833,15.96667,47.34167,87.4,17.9,69.5,38.8,6,32.8,48.6,36.7,51.6,27.2,27.8,7.96989,-1.03656,9.00645,18.53399,2.23272,16.30127,1.10515,-1.5204,2.62555,21.2,0,1,21,0,27.96667,2.62083,25.34583,47.3,18.9,28.4,20.9,-1.4,22.3,11.81667,4.82917,6.9875,19.4,7.6,11.8,5.8,3.5,2.3,19.81667,2.03333,17.78333,31.6,7.2,24.4,13.2,0.6,12.6,207
"191507.09",2019-07-27,"2019","Alberta","07.09","1915","Burkard",NA,NA,208,NA,NA,NA,585.89,2.76855301,24,NA,NA,NA,30,7,387.87,2.589798856,"07.09",3.57083,2.39167,1.17917,11.3,-3.5,14.8,0,0,0,19.57083,-0.09167,19.6625,29.4,-2.8,32.2,9.9,1.7,8.2,56.4,-6.90833,63.30833,77,-10.4,87.4,32.8,-6,38.8,44.2,48.6,36.7,12.3,22.9,8.72682,0.75693,7.96989,18.65955,0.12556,18.53399,1.99232,0.88717,1.10515,0.2,21.2,1,0.2,0,36.325,8.35833,27.96667,42.5,-4.8,47.3,28.8,7.9,20.9,9.85417,-1.9625,11.81667,15.8,-3.6,19.4,6.1,0.3,5.8,18.39583,-1.42083,19.81667,23.7,-7.9,31.6,14.6,1.4,13.2,208
"191507.09",2019-07-28,"2019","Alberta","07.09","1915","Burkard",NA,NA,209,NA,NA,NA,250.51,2.400555257,24,NA,NA,NA,30,7,585.89,2.76855301,"07.09",3.89167,0.32083,3.57083,11.1,-0.2,11.3,0,0,0,16.49583,-3.075,19.57083,23.9,-5.5,29.4,7.6,-2.3,9.9,63.27917,6.87917,56.4,84.7,7.7,77,44.3,11.5,32.8,40.4,44.2,48.6,18.9,29.8,5.81022,-2.9166,8.72682,11.49744,-7.16211,18.65955,1.35037,-0.64195,1.99232,0,0.2,0,0,0,25.0375,-11.2875,36.325,28.4,-14.1,42.5,21.4,-7.4,28.8,8.925,-0.92917,9.85417,12.6,-3.2,15.8,4.6,-1.5,6.1,16.8375,-1.55833,18.39583,20.8,-2.9,23.7,12.6,-2,14.6,209
"191507.09",2019-07-29,"2019","Alberta","07.09","1915","Burkard",NA,NA,210,NA,NA,NA,14.37,1.186532565,24,NA,NA,NA,30,7,250.51,2.400555257,"07.09",4.81667,0.925,3.89167,14.8,3.7,11.1,0,0,0,19.51667,3.02083,16.49583,31.4,7.5,23.9,9.9,2.3,7.6,58.70417,-4.575,63.27917,79.4,-5.3,84.7,32.6,-11.7,44.3,46.8,40.4,44.2,17.9,28.8,8.815,3.00477,5.81022,21.27693,9.77948,11.49744,1.8917,0.54133,1.35037,20.7,0,1,20.5,0,24.35833,-0.67917,25.0375,46.1,17.7,28.4,18.7,-2.7,21.4,10.29167,1.36667,8.925,15.7,3.1,12.6,5.7,1.1,4.6,19.1125,2.275,16.8375,29.1,8.3,20.8,13.1,0.5,12.6,210
"191507.09",2019-07-30,"2019","Alberta","07.09","1915","Burkard",NA,NA,211,NA,NA,NA,653.13,2.815660748,24,NA,NA,NA,31,7,14.37,1.186532565,"07.09",4.7875,-0.02917,4.81667,13.9,-0.9,14.8,0,0,0,19.62083,0.10417,19.51667,29.6,-1.8,31.4,9.8,-0.1,9.9,63.04583,4.34167,58.70417,82.6,3.2,79.4,41.8,9.2,32.6,40.8,46.8,40.4,10.7,12.4,7.31545,-1.49955,8.815,16.64648,-4.63045,21.27693,1.55501,-0.33669,1.8917,0,20.7,0,0,0,37.72083,13.3625,24.35833,43.7,-2.4,46.1,31.3,12.6,18.7,11.9625,1.67083,10.29167,17.4,1.7,15.7,6.2,0.5,5.7,19.05833,-0.05417,19.1125,26.2,-2.9,29.1,14.2,1.1,13.1,211
"191507.09",2019-07-31,"2019","Alberta","07.09","1915","Burkard",NA,NA,212,NA,NA,NA,112.25,2.054038211,24,NA,NA,NA,31,7,653.13,2.815660748,"07.09",7.79167,3.00417,4.7875,14.5,0.6,13.9,0,0,0,19.95,0.32917,19.62083,30.9,1.3,29.6,10.1,0.3,9.8,63.9375,0.89167,63.04583,92.6,10,82.6,33.6,-8.2,41.8,59,40.8,46.8,12,20.5,7.9304,0.61495,7.31545,21.06536,4.41888,16.64648,0.82277,-0.73223,1.55501,0,0,0,0,0,29.25,-8.47083,37.72083,32.5,-11.2,43.7,24.4,-6.9,31.3,12.05833,0.09583,11.9625,17.5,0.1,17.4,6.3,0.1,6.2,19.20417,0.14583,19.05833,26,-0.2,26.2,14.2,0,14.2,212
"191507.09",2019-08-01,"2019","Alberta","07.09","1915","Burkard",NA,NA,213,NA,NA,NA,53.32,1.734959761,24,NA,NA,NA,31,8,112.25,2.054038211,"07.09",7.31667,-0.475,7.79167,14.7,0.2,14.5,0,0,0,22.1,2.15,19.95,34,3.1,30.9,13.2,3.1,10.1,58.875,-5.0625,63.9375,74.3,-18.3,92.6,38.9,5.3,33.6,35.4,59,40.8,27.4,30.2,9.20244,1.27204,7.9304,23.81696,2.7516,21.06536,2.73532,1.91255,0.82277,20.3,0,1,20.3,0,27,-2.25,29.25,46.7,14.2,32.5,21.4,-3,24.4,13.2875,1.22917,12.05833,18.8,1.3,17.5,7.7,1.4,6.3,20.40833,1.20417,19.20417,27.3,1.3,26,15.5,1.3,14.2,213
"191507.09",2019-08-02,"2019","Alberta","07.09","1915","Burkard",NA,NA,214,NA,NA,NA,487.95,2.68926445,24,NA,NA,NA,31,8,53.32,1.734959761,"07.09",0.78333,-6.53333,7.31667,2.8,-11.9,14.7,0,0,0,22.4,0.3,22.1,34.8,0.8,34,11.7,-1.5,13.2,54.85,-4.025,58.875,78.1,3.8,74.3,32,-6.9,38.9,46.1,35.4,59,10.7,14.5,10.65638,1.45394,9.20244,24.58554,0.76858,23.81696,2.24521,-0.49011,2.73532,0,20.3,0,0,0,38.575,11.575,27,44.3,-2.4,46.7,31.3,9.9,21.4,12.12083,-1.16667,13.2875,19.2,0.4,18.8,7.6,-0.1,7.7,20.1875,-0.22083,20.40833,27.7,0.4,27.3,15.6,0.1,15.5,214
"191507.09",2019-08-03,"2019","Alberta","07.09","1915","Burkard",NA,NA,215,NA,NA,NA,118.04,2.075692918,24,NA,NA,NA,31,8,487.95,2.68926445,"07.09",0.32917,-0.45417,0.78333,1.6,-1.2,2.8,0,0,0,20.67083,-1.72917,22.4,27.4,-7.4,34.8,12.7,1,11.7,57.58333,2.73333,54.85,75.5,-2.6,78.1,33.8,1.8,32,41.7,46.1,35.4,13.2,21.7,8.07384,-2.58254,10.65638,16.88083,-7.70472,24.58554,2.57526,0.33005,2.24521,0,0,0,0,0,27.90417,-10.67083,38.575,30.7,-13.6,44.3,23.6,-7.7,31.3,11.51667,-0.60417,12.12083,17.5,-1.7,19.2,7.5,-0.1,7.6,19.60833,-0.57917,20.1875,25.8,-1.9,27.7,15.7,0.1,15.6,215
"191507.09",2019-08-04,"2019","Alberta","07.09","1915","Burkard",NA,NA,216,NA,NA,NA,1134.08,3.055026472,24,NA,NA,NA,31,8,118.04,2.075692918,"07.09",0.78333,0.45417,0.32917,14.9,13.3,1.6,0,0,0,19.09583,-1.575,20.67083,28.3,0.9,27.4,11.2,-1.5,12.7,58.41667,0.83333,57.58333,79.6,4.1,75.5,37.4,3.6,33.8,42.2,41.7,46.1,16.5,23.1,7.56696,-0.50688,8.07384,16.99082,0.10999,16.88083,1.91645,-0.65881,2.57526,20,0,1,19.8,0,30.52083,2.61667,27.90417,44.9,14.2,30.7,21.8,-1.8,23.6,10.25417,-1.2625,11.51667,13.9,-3.6,17.5,7.3,-0.2,7.5,18.5125,-1.09583,19.60833,22.9,-2.9,25.8,14.3,-1.4,15.7,216
"191507.09",2019-08-05,"2019","Alberta","07.09","1915","Burkard",NA,NA,217,NA,NA,NA,255.6,2.409256652,24,NA,NA,NA,31,8,1134.08,3.055026472,"07.09",0.125,-0.65833,0.78333,0.7,-14.2,14.9,0,0,0,19.46667,0.37083,19.09583,33.6,5.3,28.3,8.4,-2.8,11.2,60.20417,1.7875,58.41667,82,2.4,79.6,33,-4.4,37.4,49,42.2,41.7,12,19.6,8.76003,1.19308,7.56696,25.47289,8.48207,16.99082,1.46719,-0.44925,1.91645,0,20,0,0,0,35.475,4.95417,30.52083,39.6,-5.3,44.9,29.3,7.5,21.8,10.72083,0.46667,10.25417,16.5,2.6,13.9,5.4,-1.9,7.3,18.89583,0.38333,18.5125,27.5,4.6,22.9,13.3,-1,14.3,217
"191507.09",2019-08-06,"2019","Alberta","07.09","1915","Burkard",NA,NA,218,NA,NA,NA,304.26,2.4846699,24,NA,NA,NA,32,8,255.6,2.409256652,"07.09",1.93333,1.80833,0.125,14.6,13.9,0.7,0,0,0,18.2,-1.26667,19.46667,27.4,-6.2,33.6,9.5,1.1,8.4,67.39583,7.19167,60.20417,87.9,5.9,82,44.4,11.4,33,43.5,49,42.2,16.8,29.5,5.81438,-2.94566,8.76003,13.27149,-12.2014,25.47289,1.3584,-0.1088,1.46719,0.9,0,1,0.7,0,26.475,-9,35.475,29.3,-10.3,39.6,22.7,-6.6,29.3,11.675,0.95417,10.72083,17.1,0.6,16.5,6.5,1.1,5.4,18.45,-0.44583,18.89583,25,-2.5,27.5,14.1,0.8,13.3,218
"191507.09",2019-08-07,"2019","Alberta","07.09","1915","Burkard",NA,NA,219,NA,NA,NA,91.85,1.967781908,24,NA,NA,NA,32,8,304.26,2.4846699,"07.09",6.52917,4.59583,1.93333,14.8,0.2,14.6,0,0,0,18.4375,0.2375,18.2,27.5,0.1,27.4,11.1,1.6,9.5,73.22917,5.83333,67.39583,92.2,4.3,87.9,47.8,3.4,44.4,44.4,43.5,49,10,17.3,5.11862,-0.69576,5.81438,13.31086,0.03937,13.27149,0.79469,-0.56371,1.3584,8.3,0.9,1,4.3,0,35.10417,8.62917,26.475,38.4,9.1,29.3,23.6,0.9,22.7,13.06667,1.39167,11.675,17,-0.1,17.1,9.5,3,6.5,18.6375,0.1875,18.45,24.8,-0.2,25,14.8,0.7,14.1,219
"191507.09",2019-08-08,"2019","Alberta","07.09","1915","Burkard",NA,NA,220,NA,NA,NA,137.5,2.141434095,24,NA,NA,NA,32,8,91.85,1.967781908,"07.09",3.05833,-3.47083,6.52917,14.9,0.1,14.8,0,0,0,21.45833,3.02083,18.4375,33.3,5.8,27.5,11.3,0.2,11.1,60.6125,-12.61667,73.22917,84.5,-7.7,92.2,37,-10.8,47.8,47.5,44.4,43.5,21.9,34.9,9.06472,3.9461,5.11862,23.50784,10.19697,13.31086,1.5499,0.75521,0.79469,17.7,8.3,1,10.9,0,29.87083,-5.23333,35.10417,44.9,6.5,38.4,23.1,-0.5,23.6,12.84583,-0.22083,13.06667,18.4,1.4,17,8.2,-1.3,9.5,19.75417,1.11667,18.6375,26.8,2,24.8,15.1,0.3,14.8,220
"191507.09",2019-08-09,"2019","Alberta","07.09","1915","Burkard",NA,NA,221,NA,NA,NA,98.3,1.996949248,24,NA,NA,NA,32,8,137.5,2.141434095,"07.09",0.02083,-3.0375,3.05833,0.2,-14.7,14.9,0,0,0,19.6,-1.85833,21.45833,24.8,-8.5,33.3,14.5,3.2,11.3,58.74583,-1.86667,60.6125,73.9,-10.6,84.5,46.7,9.7,37,27.2,47.5,44.4,12.5,17,6.85166,-2.21306,9.06472,11.48369,-12.02415,23.50784,3.22676,1.67686,1.5499,0.2,17.7,1,0.2,0,37.95417,8.08333,29.87083,43.1,-1.8,44.9,32.5,9.4,23.1,11.15833,-1.6875,12.84583,14.7,-3.7,18.4,9.1,0.9,8.2,17.97917,-1.775,19.75417,21.7,-5.1,26.8,16.2,1.1,15.1,221
"191507.09",2019-08-10,"2019","Alberta","07.09","1915","Burkard",NA,NA,222,NA,NA,NA,114.23,2.061565562,24,NA,NA,NA,32,8,98.3,1.996949248,"07.09",6.675,6.65417,0.02083,14.6,14.4,0.2,0,0,0,14.175,-5.425,19.6,19.9,-4.9,24.8,11.4,-3.1,14.5,75.36667,16.62083,58.74583,91.1,17.2,73.9,58.8,12.1,46.7,32.3,27.2,47.5,14.5,18.3,2.998,-3.85367,6.85166,6.66149,-4.82219,11.48369,0.8519,-2.37486,3.22676,16.8,0.2,1,6,0,39.24583,1.29167,37.95417,44.9,1.8,43.1,34.3,1.8,32.5,9.67083,-1.4875,11.15833,11.6,-3.1,14.7,7.1,-2,9.1,15.24583,-2.73333,17.97917,17.1,-4.6,21.7,13.9,-2.3,16.2,222
"191507.09",2019-08-11,"2019","Alberta","07.09","1915","Burkard",NA,NA,223,NA,NA,NA,149.64,2.177940307,24,NA,NA,NA,32,8,114.23,2.061565562,"07.09",5.43333,-1.24167,6.675,14.4,-0.2,14.6,0.5,0.5,0,15.70833,1.53333,14.175,21.7,1.8,19.9,12.9,1.5,11.4,78.1,2.73333,75.36667,88.9,-2.2,91.1,70.3,11.5,58.8,18.6,32.3,27.2,12.1,15.1,2.78611,-0.21189,2.998,5.04738,-1.61411,6.66149,1.25748,0.40559,0.8519,1,16.8,1,1,0,36.23333,-3.0125,39.24583,38.4,-6.5,44.9,34.3,0,34.3,11.86667,2.19583,9.67083,16.5,4.9,11.6,8.7,1.6,7.1,16,0.75417,15.24583,17.9,0.8,17.1,14.5,0.6,13.9,223
"191507.09",2019-08-12,"2019","Alberta","07.09","1915","Burkard",NA,NA,224,NA,NA,NA,237.44,2.377379113,24,NA,NA,NA,32,8,149.64,2.177940307,"07.09",10.99167,5.55833,5.43333,14.4,0,14.4,0.6,0.1,0.5,14.30833,-1.4,15.70833,17.5,-4.2,21.7,13,0.1,12.9,86.65417,8.55417,78.1,94.8,5.9,88.9,71.4,1.1,70.3,23.4,18.6,32.3,8.1,11.6,1.60248,-1.18363,2.78611,3.90714,-1.14025,5.04738,0.56391,-0.69357,1.25748,2.1,1,1,1.7,0,38.875,2.64167,36.23333,41.4,3,38.4,37.2,2.9,34.3,12.05,0.18333,11.86667,12.9,-3.6,16.5,11.3,2.6,8.7,15.53333,-0.46667,16,16.8,-1.1,17.9,14.8,0.3,14.5,224
"191507.09",2019-08-13,"2019","Alberta","07.09","1915","Burkard",NA,NA,225,NA,NA,NA,140.3,2.150142162,24,NA,NA,NA,33,8,237.44,2.377379113,"07.09",4.45833,-6.53333,10.99167,12.7,-1.7,14.4,0,-0.6,0.6,16.36667,2.05833,14.30833,25.5,8,17.5,11.2,-1.8,13,78.62917,-8.025,86.65417,95.9,1.1,94.8,52.1,-19.3,71.4,43.8,23.4,18.6,14.2,21.7,3.50813,1.90566,1.60248,10.52619,6.61905,3.90714,0.43637,-0.12754,0.56391,0,2.1,0,0,0,39.325,0.45,38.875,41.4,0,41.4,37.2,0,37.2,12.2625,0.2125,12.05,15.5,2.6,12.9,9.1,-2.2,11.3,16.49167,0.95833,15.53333,20.4,3.6,16.8,14.4,-0.4,14.8,225
"191507.09",2019-08-14,"2019","Alberta","07.09","1915","Burkard",NA,NA,226,NA,NA,NA,53,1.73239376,24,NA,NA,NA,33,8,140.3,2.150142162,"07.09",6.38333,1.925,4.45833,14.5,1.8,12.7,0,0,0,17.23333,0.86667,16.36667,26.6,1.1,25.5,9.5,-1.7,11.2,73.5625,-5.06667,78.62917,92,-3.9,95.9,48.7,-3.4,52.1,43.3,43.8,23.4,16.2,21.1,4.47521,0.96707,3.50813,11.83821,1.31203,10.52619,0.80495,0.36858,0.43637,0.9,0,1,0.7,0,35.81667,-3.50833,39.325,37.8,-3.6,41.4,32.5,-4.7,37.2,12.09167,-0.17083,12.2625,16.1,0.6,15.5,7.5,-1.6,9.1,17.26667,0.775,16.49167,22.1,1.7,20.4,13.3,-1.1,14.4,226
"191507.09",2019-08-15,"2019","Alberta","07.09","1915","Burkard",NA,NA,227,NA,NA,NA,235.71,2.374216605,24,NA,NA,NA,33,8,53,1.73239376,"07.09",0.93333,-5.45,6.38333,2.8,-11.7,14.5,0,0,0,17.24583,0.0125,17.23333,28.3,1.7,26.6,8,-1.5,9.5,65.32083,-8.24167,73.5625,88.7,-3.3,92,38.3,-10.4,48.7,50.4,43.3,43.8,17.2,27.6,6.37957,1.90436,4.47521,16.85139,5.01317,11.83821,1.06156,0.25661,0.80495,0,0.9,0,0,0,29.30417,-6.5125,35.81667,32.5,-5.3,37.8,25.3,-7.2,32.5,9.92083,-2.17083,12.09167,14.1,-2,16.1,5.5,-2,7.5,17.19583,-0.07083,17.26667,24.9,2.8,22.1,12.4,-0.9,13.3,227
"191507.09",2019-08-16,"2019","Alberta","07.09","1915","Burkard",NA,NA,228,NA,NA,NA,43.45,1.647822911,24,NA,NA,NA,33,8,235.71,2.374216605,"07.09",6.42917,5.49583,0.93333,14.6,11.8,2.8,0,0,0,12.57083,-4.675,17.24583,17.8,-10.5,28.3,9.9,1.9,8,79.4625,14.14167,65.32083,87.1,-1.6,88.7,68.3,30,38.3,18.8,50.4,43.3,15.5,16.9,2.14874,-4.23083,6.37957,4.49588,-12.35551,16.85139,1.2425,0.18094,1.06156,4.2,0,1,2,0,26.07917,-3.225,29.30417,28,-4.5,32.5,24.4,-0.9,25.3,9.06667,-0.85417,9.92083,11.9,-2.2,14.1,6.1,0.6,5.5,14.4125,-2.78333,17.19583,17,-7.9,24.9,12.8,0.4,12.4,228
